,x,y,lon,lat,elevation
3665,30,35,169.453125,-37.97702354861099,0.0
3666,30,36,169.453125,-38.086548940848076,0.0
3667,30,37,169.453125,-38.19607433308518,0.0
3668,30,38,169.453125,-38.305599725322274,0.0
3669,30,39,169.453125,-38.41512511755937,0.0
3670,30,40,169.453125,-38.524650509796466,0.0
3671,30,41,169.453125,-38.63417590203356,0.0
3672,30,42,169.453125,-38.74370129427066,0.0
3673,30,43,169.453125,-38.85322668650775,0.0
3674,30,44,169.453125,-38.962752078744856,0.0
3675,30,45,169.453125,-39.072277470981945,0.0
3676,30,46,169.453125,-39.18180286321905,0.0
3677,30,47,169.453125,-39.29132825545614,0.0
3678,30,48,169.453125,-39.40085364769324,0.0
3679,30,49,169.453125,-39.510379039930335,0.0
3680,30,50,169.453125,-39.61990443216743,0.0
3681,30,51,169.453125,-39.72942982440453,0.0
3682,30,52,169.453125,-39.83895521664162,0.0
3683,30,53,169.453125,-39.948480608878725,0.0
3684,30,54,169.453125,-40.05800600111582,0.0
3685,30,55,169.453125,-40.16753139335292,0.0
3686,30,56,169.453125,-40.27705678559001,0.0
3687,30,57,169.453125,-40.38658217782711,0.0
3688,30,58,169.453125,-40.496107570064204,0.0
3689,30,59,169.453125,-40.6056329623013,0.0
3690,30,60,169.453125,-40.7151583545384,0.0
3691,30,61,169.453125,-40.8246837467755,0.0
3692,30,62,169.453125,-40.934209139012594,0.0
3693,30,63,169.453125,-41.04373453124969,0.0
3694,30,64,169.453125,-41.153259923486786,0.0
3695,30,65,169.453125,-41.26278531572388,0.0
3696,30,66,169.453125,-41.37231070796098,0.0
3697,30,67,169.453125,-41.48183610019807,0.0
3698,30,68,169.453125,-41.59136149243517,0.0
3699,30,69,169.453125,-41.70088688467227,0.0
3700,30,70,169.453125,-41.81041227690937,0.0
3701,30,71,169.453125,-41.919937669146464,0.0
3702,30,72,169.453125,-42.02946306138356,0.0
3703,30,73,169.453125,-42.138988453620655,0.0
3704,30,74,169.453125,-42.24851384585775,0.0
3705,30,75,169.453125,-42.35803923809485,0.0
3706,30,76,169.453125,-42.46756463033195,0.0
3707,30,77,169.453125,-42.577090022569045,0.0
3708,30,78,169.453125,-42.68661541480614,0.0
3709,30,79,169.453125,-42.79614080704324,0.0
3710,30,80,169.453125,-42.90566619928033,0.0
3711,30,81,169.453125,-43.01519159151743,0.0
3712,30,82,169.453125,-43.124716983754524,0.0
3713,30,83,169.453125,-43.23424237599162,0.0
3714,30,84,169.453125,-43.343767768228716,0.0
3715,30,85,169.453125,-43.45329316046582,0.0
3716,30,86,169.453125,-43.562818552702915,0.0
3717,30,87,169.453125,-43.67234394494001,26.265804290771484
3718,30,88,169.453125,-43.781869337177106,875.7744140625
3719,30,89,169.453125,-43.8913947294142,
3720,30,90,169.453125,-44.0009201216513,
3721,30,91,169.453125,-44.11044551388839,937.1327514648438
3722,30,92,169.453125,-44.219970906125496,
3723,30,93,169.453125,-44.32949629836259,
3724,30,94,169.453125,-44.43902169059969,814.0926513671875
3725,30,95,169.453125,-44.548547082836784,
3726,30,96,169.453125,-44.65807247507388,
3727,30,97,169.453125,-44.767597867310975,
3728,30,98,169.453125,-44.87712325954807,390.8152770996094
3729,30,99,169.453125,-44.98664865178517,
3730,30,100,169.453125,-45.09617404402226,
3731,30,101,169.453125,-45.205699436259366,156.60595703125
3732,30,102,169.453125,-45.31522482849646,
3733,30,103,169.453125,-45.42475022073356,
3734,30,104,169.453125,-45.53427561297065,507.1376647949219
3735,30,105,169.453125,-45.64380100520775,
3736,30,106,169.453125,-45.753326397444845,
3737,30,107,169.453125,-45.86285178968194,248.72230529785156
3738,30,108,169.453125,-45.97237718191904,
3739,30,109,169.453125,-46.08190257415614,
3740,30,110,169.453125,-46.191427966393235,91.06983184814453
3741,30,111,169.453125,-46.30095335863033,
3742,30,112,169.453125,-46.410478750867426,
3743,30,113,169.453125,-46.52000414310452,63.669010162353516
3744,30,114,169.453125,-46.62952953534162,0.0
3745,30,115,169.453125,-46.739054927578714,0.0
3746,30,116,169.453125,-46.84858031981581,0.0
3747,30,117,169.453125,-46.95810571205291,0.0
3748,30,118,169.453125,-47.06763110429001,0.0
3749,30,119,169.453125,-47.177156496527104,0.0
3750,30,120,169.453125,-47.2866818887642,0.0
3751,31,0,169.55419921875,-34.1436348203126,0.0
3752,31,1,169.55419921875,-34.253160212549695,0.0
3753,31,2,169.55419921875,-34.36268560478679,0.0
3754,31,3,169.55419921875,-34.47221099702389,0.0
3755,31,4,169.55419921875,-34.58173638926098,0.0
3756,31,5,169.55419921875,-34.691261781498085,0.0
3757,31,6,169.55419921875,-34.80078717373518,0.0
3758,31,7,169.55419921875,-34.910312565972276,0.0
3759,31,8,169.55419921875,-35.01983795820937,0.0
3760,31,9,169.55419921875,-35.12936335044647,0.0
3761,31,10,169.55419921875,-35.238888742683564,0.0
3762,31,11,169.55419921875,-35.34841413492066,0.0
3763,31,12,169.55419921875,-35.45793952715776,0.0
3764,31,13,169.55419921875,-35.56746491939485,0.0
3765,31,14,169.55419921875,-35.676990311631954,0.0
3766,31,15,169.55419921875,-35.78651570386905,0.0
3767,31,16,169.55419921875,-35.896041096106146,0.0
3768,31,17,169.55419921875,-36.00556648834324,0.0
3769,31,18,169.55419921875,-36.11509188058034,0.0
3770,31,19,169.55419921875,-36.22461727281744,0.0
3771,31,20,169.55419921875,-36.33414266505453,0.0
3772,31,21,169.55419921875,-36.44366805729163,0.0
3773,31,22,169.55419921875,-36.55319344952873,0.0
3774,31,23,169.55419921875,-36.66271884176582,0.0
3775,31,24,169.55419921875,-36.77224423400292,0.0
3776,31,25,169.55419921875,-36.881769626240015,0.0
3777,31,26,169.55419921875,-36.99129501847711,0.0
3778,31,27,169.55419921875,-37.100820410714206,0.0
3779,31,28,169.55419921875,-37.21034580295131,0.0
3780,31,29,169.55419921875,-37.3198711951884,0.0
3781,31,30,169.55419921875,-37.4293965874255,0.0
3782,31,31,169.55419921875,-37.5389219796626,0.0
3783,31,32,169.55419921875,-37.64844737189969,0.0
3784,31,33,169.55419921875,-37.75797276413679,0.0
3785,31,34,169.55419921875,-37.867498156373884,0.0
3786,31,35,169.55419921875,-37.97702354861099,0.0
3787,31,36,169.55419921875,-38.086548940848076,0.0
3788,31,37,169.55419921875,-38.19607433308518,0.0
3789,31,38,169.55419921875,-38.305599725322274,0.0
3790,31,39,169.55419921875,-38.41512511755937,0.0
3791,31,40,169.55419921875,-38.524650509796466,0.0
3792,31,41,169.55419921875,-38.63417590203356,0.0
3793,31,42,169.55419921875,-38.74370129427066,0.0
3794,31,43,169.55419921875,-38.85322668650775,0.0
3795,31,44,169.55419921875,-38.962752078744856,0.0
3796,31,45,169.55419921875,-39.072277470981945,0.0
3797,31,46,169.55419921875,-39.18180286321905,0.0
3798,31,47,169.55419921875,-39.29132825545614,0.0
3799,31,48,169.55419921875,-39.40085364769324,0.0
3800,31,49,169.55419921875,-39.510379039930335,0.0
3801,31,50,169.55419921875,-39.61990443216743,0.0
3802,31,51,169.55419921875,-39.72942982440453,0.0
3803,31,52,169.55419921875,-39.83895521664162,0.0
3804,31,53,169.55419921875,-39.948480608878725,0.0
3805,31,54,169.55419921875,-40.05800600111582,0.0
3806,31,55,169.55419921875,-40.16753139335292,0.0
3807,31,56,169.55419921875,-40.27705678559001,0.0
3808,31,57,169.55419921875,-40.38658217782711,0.0
3809,31,58,169.55419921875,-40.496107570064204,0.0
3810,31,59,169.55419921875,-40.6056329623013,0.0
3811,31,60,169.55419921875,-40.7151583545384,0.0
3812,31,61,169.55419921875,-40.8246837467755,0.0
3813,31,62,169.55419921875,-40.934209139012594,0.0
3814,31,63,169.55419921875,-41.04373453124969,0.0
3815,31,64,169.55419921875,-41.153259923486786,0.0
3816,31,65,169.55419921875,-41.26278531572388,0.0
3817,31,66,169.55419921875,-41.37231070796098,0.0
3818,31,67,169.55419921875,-41.48183610019807,0.0
3819,31,68,169.55419921875,-41.59136149243517,0.0
3820,31,69,169.55419921875,-41.70088688467227,0.0
3821,31,70,169.55419921875,-41.81041227690937,0.0
3822,31,71,169.55419921875,-41.919937669146464,0.0
3823,31,72,169.55419921875,-42.02946306138356,0.0
3824,31,73,169.55419921875,-42.138988453620655,0.0
3825,31,74,169.55419921875,-42.24851384585775,0.0
3826,31,75,169.55419921875,-42.35803923809485,0.0
3827,31,76,169.55419921875,-42.46756463033195,0.0
3828,31,77,169.55419921875,-42.577090022569045,0.0
3829,31,78,169.55419921875,-42.68661541480614,0.0
3830,31,79,169.55419921875,-42.79614080704324,0.0
3831,31,80,169.55419921875,-42.90566619928033,0.0
3832,31,81,169.55419921875,-43.01519159151743,0.0
3833,31,82,169.55419921875,-43.124716983754524,0.0
3834,31,83,169.55419921875,-43.23424237599162,0.0
3835,31,84,169.55419921875,-43.343767768228716,0.0
3836,31,85,169.55419921875,-43.45329316046582,0.0
3837,31,86,169.55419921875,-43.562818552702915,0.0
3838,31,87,169.55419921875,-43.67234394494001,35.460777282714844
3839,31,88,169.55419921875,-43.781869337177106,1021.7354125976562
3840,31,89,169.55419921875,-43.8913947294142,
3841,31,90,169.55419921875,-44.0009201216513,1297.5545654296875
3842,31,91,169.55419921875,-44.11044551388839,
3843,31,92,169.55419921875,-44.219970906125496,
3844,31,93,169.55419921875,-44.32949629836259,1193.2449951171875
3845,31,94,169.55419921875,-44.43902169059969,
3846,31,95,169.55419921875,-44.548547082836784,
3847,31,96,169.55419921875,-44.65807247507388,767.0255126953125
3848,31,97,169.55419921875,-44.767597867310975,
3849,31,98,169.55419921875,-44.87712325954807,
3850,31,99,169.55419921875,-44.98664865178517,597.3760986328125
3851,31,100,169.55419921875,-45.09617404402226,
3852,31,101,169.55419921875,-45.205699436259366,
3853,31,102,169.55419921875,-45.31522482849646,
3854,31,103,169.55419921875,-45.42475022073356,785.4918823242188
3855,31,104,169.55419921875,-45.53427561297065,
3856,31,105,169.55419921875,-45.64380100520775,
3857,31,106,169.55419921875,-45.753326397444845,469.4891357421875
3858,31,107,169.55419921875,-45.86285178968194,
3859,31,108,169.55419921875,-45.97237718191904,
3860,31,109,169.55419921875,-46.08190257415614,40.855010986328125
3861,31,110,169.55419921875,-46.191427966393235,
3862,31,111,169.55419921875,-46.30095335863033,
3863,31,112,169.55419921875,-46.410478750867426,59.94243240356445
3864,31,113,169.55419921875,-46.52000414310452,
3865,31,114,169.55419921875,-46.62952953534162,0.0
3866,31,115,169.55419921875,-46.739054927578714,0.0
3867,31,116,169.55419921875,-46.84858031981581,0.0
3868,31,117,169.55419921875,-46.95810571205291,0.0
3869,31,118,169.55419921875,-47.06763110429001,0.0
3870,31,119,169.55419921875,-47.177156496527104,0.0
3871,31,120,169.55419921875,-47.2866818887642,0.0
3872,32,0,169.6552734375,-34.1436348203126,0.0
3873,32,1,169.6552734375,-34.253160212549695,0.0
3874,32,2,169.6552734375,-34.36268560478679,0.0
3875,32,3,169.6552734375,-34.47221099702389,0.0
3876,32,4,169.6552734375,-34.58173638926098,0.0
3877,32,5,169.6552734375,-34.691261781498085,0.0
3878,32,6,169.6552734375,-34.80078717373518,0.0
3879,32,7,169.6552734375,-34.910312565972276,0.0
3880,32,8,169.6552734375,-35.01983795820937,0.0
3881,32,9,169.6552734375,-35.12936335044647,0.0
3882,32,10,169.6552734375,-35.238888742683564,0.0
3883,32,11,169.6552734375,-35.34841413492066,0.0
3884,32,12,169.6552734375,-35.45793952715776,0.0
3885,32,13,169.6552734375,-35.56746491939485,0.0
3886,32,14,169.6552734375,-35.676990311631954,0.0
3887,32,15,169.6552734375,-35.78651570386905,0.0
3888,32,16,169.6552734375,-35.896041096106146,0.0
3889,32,17,169.6552734375,-36.00556648834324,0.0
