hash;;author;;date;;message;;additions;;additions_kt;;additions_py;;deletions;;deletions_kt;;deletions_py
c8db300544974ddd35a82a90072772b788600ac6;;Igor Alshannikov;;Fri Oct 25 14:39:39 2024 -0400;;Update pan,zoom demo (fixed buttons);;10;;0;;0;;21;;0;;0
889df6754b7fef2f3d030be5957ad64db26520f1;;Valentin Dovidaytis;;Fri Oct 25 17:28:07 2024 +0200;;Updated version v4.5.2.dev1;;2;;0;;1;;2;;0;;1
55105aaf81cb6f30c7612714110023aa4a8b6c71;;Valentin Dovidaytis;;Fri Oct 25 17:25:38 2024 +0200;;Updated version v4.5.1;;19;;0;;1;;12;;0;;1
03243ec051792e03d5453656d640f80e22bb3fc4;;Igor Alshannikov;;Thu Oct 24 17:49:00 2024 -0400;;Update future_changes.md;;5;;0;;0;;1;;0;;0
193507eaca66f77362c32fd2aef839f461f5a715;;Igor Alshannikov;;Thu Oct 24 17:44:27 2024 -0400;;Fix "Target not found" exception when wheel zooming.;;3;;3;;0;;1;;1;;0
4e334082ddd311dbd8319bd31956158b1a9da8a7;;Igor Alshannikov;;Thu Oct 24 17:21:40 2024 -0400;;Fix  "Invalid number format: '50000000000000000000'" exception then wheel zooming out.;;22;;22;;0;;2;;2;;0
de9dd0b58e2f8d2b65ab1a9c0c5c236684b5932f;;Igor Alshannikov;;Thu Oct 24 16:36:10 2024 -0400;;Fix log transform limits (to fix the wheel zoom-out crash). Batik - Ok, web still "Invalid number format";;52;;52;;0;;28;;28;;0
70989b66b2986eb5677898321c48d45cb762dc83;;Igor Alshannikov;;Wed Oct 23 20:13:22 2024 -0400;;Improve toolbar layout.;;213;;5;;0;;42;;2;;0
862a92deff9790c733847c64a23027cee5a32016;;Igor Alshannikov;;Wed Oct 23 19:37:08 2024 -0400;;Fix toolbar icon shift (#1226);;8;;8;;0;;5;;5;;0
9877d7da13feec1d69fccdc18ec52a67845884de;;Ivan Kupriyanov;;Thu Oct 24 00:19:16 2024 +0200;;Add a livemap demo with links in tooltips;;48;;48;;0;;1;;1;;0
e38749a995d2fc92d936d6c836eceef831de897a;;Ivan Kupriyanov;;Thu Oct 24 00:15:51 2024 +0200;;Fix LiveMap demo, better error reporting for JsonLexer;;185;;185;;0;;10;;10;;0
89262ea71b3afa87bd4d93fc826fe49dc524f80a;;Ivan Kupriyanov;;Wed Oct 23 22:04:34 2024 +0200;;Interact: refined pinned tooltip mode;;74;;70;;0;;34;;34;;0
95c7a016096e192f66effafd903d1f9716d4e42b;;Igor Alshannikov;;Wed Oct 23 13:10:14 2024 -0400;;Upgrade 'python-package' module env to Python 3.9;;1;;0;;0;;1;;0;;0
5aa78f977f4473d9ed6caab0b26a2e363546e494;;Igor Alshannikov;;Wed Oct 23 13:08:03 2024 -0400;;Rerun demos;;1201;;0;;0;;335;;0;;0
8e362a0175fdbfeaa212588532f2ed983df9d5c0;;Valentin Dovidaytis;;Wed Oct 23 17:24:44 2024 +0200;;Updated version v4.5.1.dev1;;2;;0;;1;;2;;0;;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;;Valentin Dovidaytis;;Wed Oct 23 17:22:18 2024 +0200;;Updated version v4.5.0;;100;;0;;1;;92;;0;;1
f7c09baa81905644be8bcafa793b3afd11150183;;Valentin Dovidaytis;;Wed Oct 23 17:11:45 2024 +0200;;Docs 4.5.0 (#1225);;32;;0;;0;;17;;0;;0
11d456f9bd6b205e7dea7510c8d0f9fbb23f6621;;Artem Smirnov;;Wed Oct 23 14:30:18 2024 +0200;;Small fix in docstrings for the ggtb() function.;;6;;0;;6;;3;;0;;3
7e47ab9f99e19e0029c5ddfb08e892f74838cd2c;;Artem Smirnov;;Wed Oct 23 14:12:14 2024 +0200;;Update warning message for the deprecated tilesets.;;1;;0;;1;;1;;0;;1
1bc887904c2b792b5830bcf54a46d66688acfd41;;Artem Smirnov;;Tue Oct 22 19:58:18 2024 +0200;;Fix tiles deprecation (#1223);;32;;0;;32;;7;;0;;7
08dce48e10bee2d34834b484bf3b655fece0ce49;;Igor Alshannikov;;Tue Oct 22 13:13:20 2024 -0400;;Minor improvement in future_changes.md;;4;;0;;0;;4;;0;;0
f042d9100bd40eeb6a5d58a325b53acde8925490;;Igor Alshannikov;;Tue Oct 22 13:06:59 2024 -0400;;Add warning concerning formatting.;;2;;0;;0;;0;;0;;0
45155b739d11cc2d1a859169bf19d321d6059fb1;;Artem Smirnov;;Tue Oct 22 17:38:58 2024 +0200;;Remove extra default tooltips from the QQ and QQLine geometries.;;1;;1;;0;;0;;0;;0
f3b6ee7dca9340bf3e8cfc40cc0f180dc004a561;;Artem Smirnov;;Tue Oct 22 17:41:52 2024 +0200;;Updates in docstrings and cookbooks (#1222);;535;;0;;465;;273;;0;;229
8e517da7949eaec302d90104064f037df8345cc4;;Ivan Kupriyanov;;Tue Oct 22 13:54:15 2024 +0200;;Less strict handling of unexpectedly multi-element lists.;;17;;17;;0;;3;;3;;0
17585fffe32868aa4327d19970c7693a7b2dde72;;Artem Smirnov;;Tue Oct 22 13:30:28 2024 +0200;;Update future_changes.md.;;5;;0;;0;;3;;0;;0
ca63ce66074ac3d84cfe22acf49fdb117a27e21b;;Artem Smirnov;;Tue Oct 22 12:20:20 2024 +0200;;Cookbooks: scientific notation and LaTeX support (#1219);;2201;;0;;0;;2;;0;;0
b98d4b383919d7c6642d1ba086abe057f1b42308;;Artem Smirnov;;Tue Oct 22 11:52:30 2024 +0200;;Deprecated tilesets (#1220);;47;;6;;11;;90;;3;;69
